number,title
WHA6.58,"Duration of Health Assembly sessions
﻿"
WHA6.59,"Reports of the Executive Board on its tenth and eleventh sessions
﻿"
WHA6.49,"Relations with non-governmental organizations
﻿"
WHA6.61,"Co-ordination with the United Nations and specialized agencies on administration and financial matters
﻿"
WHA6.60,"Technical discussions at future Health Assemblies
﻿"
WHA6.48,"Assignment of Nepal to the South-East Asia region
﻿"
WHA6.13,"Annual report of the Director-General for 1952
﻿"
WHA6.12,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA6.10,"Study on scale of assessments
﻿"
WHA6.38,"Rights and obligations of associate members
﻿"
WHA6.39,"Approval of the host agreement with the government of France
﻿"
WHA6.11,"Financial report and accounts of the World Health Organization for 1952 and report of the external auditor
﻿"
WHA6.8,"Effective working budget for 1954
﻿"
WHA6.29,"Working capital fund for 1954
﻿"
WHA6.15,"Selection of non-proprietary names for drugs
﻿"
WHA6.14,"Medical use of diacetylmorphine (‎heroin)‎
﻿"
WHA6.28,"Appropriation resolution for the financial year 1954
﻿"
WHA6.9,"Expanded Programme of Technical Assistance in 1953
﻿"
WHA6.16,"Standardization of laboratory tests of foods
﻿"
WHA6.17,"Programme in dentistry
﻿"
WHA7.48,"Amendments to staff rules
﻿"
WHA7.49,"Accommodation for Headquarters office
﻿"
WHA7.39,"Legislative developments in the Technical Assistance Programme
﻿"
WHA7.11,"Extension of agreement with the United Nations Relief and Works Agency for Palestine Refugees in the Near East
﻿"
WHA7.4,"Budget level and effective working budget for 1955
﻿"
WHA7.5,"Campaigns against smallpox
﻿"
WHA7.10,"Organizational study on programme analysis and evaluation
﻿"
WHA7.38,"Procedure for the consideration by the eighth World Health Assembly of the 1956 programme and budget estimates
﻿"
WHA7.12,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA7.7,"1931 Convention on Narcotic Drugs: interpretation of ""convertible substances""
﻿"
WHA7.6,"Functions of the World Health Organization in respect of conventions on addiction-producing drugs
﻿"
WHA7.13,"Admission of the Federation of Rhodesia and Nyasaland as an associate member of the World Health Organization
﻿"
WHA7.17,"Assessment of China
﻿"
WHA7.2,"Terms of reference of the main committees
﻿"
WHA7.3,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA7.16,"Future scales of assessment
﻿"
WHA7.14,"Host agreement with the government of Egypt
﻿"
WHA7.28,"Rights and obligations of associate members in regional committees
﻿"
WHA7.1,"Establishment of main committees
﻿"
WHA7.29,"Place of eighth World Health Assembly
﻿"
WHA7.15,"Scales of assessment for 1955, 1956, 1957 and 1958
﻿"
WHA7.18,"Request concerning the contribution of the Spanish Protectorate Zone in Morocco
﻿"
WHA7.30,"Revision of rules of procedure of the World Health Assembly
﻿"
WHA7.24,"Establishment of Executive Board special fund
﻿"
WHA7.25,"Financial report and accounts for 1953 and report of the external auditor
﻿"
WHA7.31,"Technical discussions at future Health Assemblies
﻿"
WHA7.19,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA7.27,"Payment of travel expenses of representatives in sessions of regional committees
﻿"
WHA7.33,"Regional Committee for the Eastern Mediterranean
﻿"
WHA7.32,"Additional use of the Spanish language
﻿"
WHA7.26,"Sessions of regional committees at regional headquarters
﻿"
WHA7.22,"Publications revolving fund
﻿"
WHA7.36,"Form of presentation of annual programme and budget estimates
﻿"
WHA7.37,"Procedure for the consideration by the Executive Board of the 1956 programme and budget estimates
﻿"
WHA7.23,"Special fund for World Health seals
﻿"
WHA7.35,"Programme and budget for 1955
﻿"
WHA7.21,"Working capital fund for 1955
﻿"
WHA7.8,"Procedure for selection of recommended international non-proprietary names for drugs
﻿"
WHA7.9,"General programme of work for a specific period
﻿"
WHA7.20,"Arrears of contributions in respect of the Office international d'Hygiène publique
﻿"
WHA7.34,"Appropriation resolution for the financial year 1955
﻿"
WHA7.53,"Environmental sanitation
﻿"
WHA7.47,"Annual report of the United Nations Joint Staff Pension Board
﻿"
WHA7.46,"Appointment of representatives on WHO Staff Pension Committee
﻿"
WHA7.52,"Research
﻿"
WHA7.44,"Appointment of the external auditor for the years 1955-1957
﻿"
WHA7.50,"Relations with UNICEF
﻿"
WHA7.51,"Decisions of the United Nations General Assembly and Economic and Social Council
﻿"
WHA7.45,"Cost-of-living adjustments
﻿"
WHA7.41,"Technical Assistance Programme for 1955
﻿"
WHA7.55,"Reports of the Executive Board on its twelfth and thirteenth sessions
﻿"
WHA7.54,"Annual report of the Director-General for 1953
﻿"
WHA7.40,"Modifications in the Technical Assistance Programme for 1954
﻿"
WHA7.56,"International Sanitary Regulations: first report of the Committee on International Quarantine
﻿"
WHA7.42,"Local costs in respect of international project personnel under the regular budget
﻿"
WHA7.43,"Local costs in respect of international project personnel under the Technical Assistance Programme
﻿"
WHA7.57,"Reservations to the International Sanitary Regulations (‎WHO regulations no.2)‎ in respect of overseas and outlying territories
﻿"
WHA8.8,"Admission of the Sudan as an associate member
﻿"
WHA8.37,"Appropriation resolution for the financial year 1956
﻿"
WHA8.23,"Implementation of WHA7.33
﻿"
WHA8.22,"Methods of recruitment for posts in WHO
﻿"
WHA8.36,"Additional regulations of 26 May 1955 amending the International Sanitary Regulations
﻿"
WHA8.9,"Annual report of the Director-General for 1954
﻿"
WHA8.20,"Public information activities
﻿"
WHA8.34,"Atomic energy
﻿"
WHA8.35,"Second report of the Committee on International Quarantine
﻿"
WHA8.21,"Special fund for improving national health services
﻿"
WHA8.25,"Place of the ninth World Health Assembly
﻿"
WHA8.31,"Approved 1955 Technical Assistance Programme and the financial situation for 1955
﻿"
WHA8.19,"Working capital fund for 1956
﻿"
WHA8.18,"Accession to the Convention on the Privileges and Immunities of the Specialized Agencies
﻿"
WHA8.30,"Malaria eradication
﻿"
WHA8.24,"Establishment of the Regional Office for Europe in Copenhagen: host agreement with the government of Denmark
﻿"
WHA8.32,"Planning for the 1956 Technical Assistance Programme
﻿"
WHA8.26,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA8.27,"Interpretation of certain rules of procedure of the World Health Assembly
﻿"
WHA8.33,"Legislative developments in the United Nations Expanded Programme of Technical Assistance
﻿"
WHA8.40,"Reports on the world health situation
﻿"
WHA8.41,"Organizational study on programme analysis and evaluation
﻿"
WHA8.43,"Technical discussions at future World Health Assemblies
﻿"
WHA8.42,"Future organizational study: programme planning
﻿"
WHA8.46,"Extension of the agreement with the United Nations Relief and Works Agency for Palestine Refugees in the Near East
﻿"
WHA8.47,"Reports of the Executive Board on its fourteenth and fifteenth sessions
﻿"
WHA8.45,"Decisions of United Nations organs and specialized agencies
﻿"
WHA8.44,"Co-ordination with the United Nations and specialized agencies on administrative and budgetary questions
﻿"
WHA8.1,"Establishment of main committees
﻿"
WHA8.16,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA8.17,"Annual report of the United Nations Joint Staff Pension Board
﻿"
WHA8.2,"Terms of reference of the main committees
﻿"
WHA8.29,"Confirmation of resolution WHA6.37 and admission of the Spanish protectorate zone in Morocco as associate member (‎item proposed by Spain and the Spanish protectorate zone in Morocco)‎: contribution of the Spanish protectorate zone in Morocco
﻿"
WHA8.15,"Arrears of contributions due in respect of the Office international d'Hygiène publique
﻿"
WHA8.14,"WHO seals
﻿"
WHA8.28,"Procedural problems related to constitutional amendments
﻿"
WHA8.3,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA8.7,"Publications revolving fund
﻿"
WHA8.10,"Second general programme of working covering a specific period
﻿"
WHA8.38,"Campaigns against smallpox
﻿"
WHA8.39,"Selection of recommended international non-proprietary names for pharmaceutical preparations
﻿"
WHA8.11,"Effective working budget and budget level for 1956
﻿"
WHA8.6,"Financial report of WHO for 1954 and report of the external auditor
﻿"
WHA8.4,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA8.13,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA8.12,"Relations with UNICEF
﻿"
WHA8.5,"Scales of assessment
﻿"
WHA9.63,"Reports of the Executive Board on its sixteenth and seventeenth sessions
﻿"
WHA9.62,"Fixing of target dates for starting inter-regional co-ordinated programmes for malaria control leading to eradication
﻿"
WHA9.60,"Progress and evaluation of production of typhoid, smallpox and triple diphtheria-pertussis-tetanus vaccines
﻿"
WHA9.48,"Additional regulations of 23 May 1956 amending the International Sanitary Regulations with respect to the sanitary control of pilgrim traffic
﻿"
WHA9.49,"Additional regulations of 23 May 1956 amending the International Sanitary Regulations with respect to the form of the International Certificate of Vaccination or Revaccination against Smallpox
﻿"
WHA9.61,"Malaria eradication
﻿"
WHA9.59,"Appropriation resolution for the financial year 1957
﻿"
WHA9.58,"Planning for the 1957 Technical Assistance Programme
﻿"
WHA9.14,"Assessments of Austria, Burma and Ceylon
﻿"
WHA9.28,"Special report to celebrate the tenth anniversary of the World Health Organization
﻿"
WHA9.29,"Seventh revision of the International Lists of Disease and Causes of Death
﻿"
WHA9.15,"Assessment of Korea
﻿"
WHA9.17,"Scale of assessment for 1957
﻿"
WHA9.8,"Admission of Sierra Leone as an associate member
﻿"
WHA9.9,"Resumption by certain members of active participation in the World Health Organization
﻿"
WHA9.16,"Assessments of Morocco, Sudan, Tunisia; Gold Coast, Federation of Nigeria, and Sierra Leone
﻿"
WHA9.12,"Financial report of WHO for 1955 and report of the external auditor
﻿"
WHA9.13,"Publications revolving fund
﻿"
WHA9.39,"Spanish text of the rules of procedure of the World Health Assembly
﻿"
WHA9.11,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA9.10,"Report of the Lèon Bernard Foundation Committee
﻿"
WHA9.38,"Relations between the International Bureau for the Protection of Industrial Property and the World Health Organization
﻿"
WHA9.21,"Co-ordination with the United Nations and specialized agencies on administrative and financial questions
﻿"
WHA9.35,"Relations with UNICEF
﻿"
WHA9.2,"Terms of reference of the main committees
﻿"
WHA9.3,"Admission of Morocco as a member
﻿"
WHA9.34,"Future policy on financial support to the Council for International Organizations of Medical Sciences (‎CIOMS)‎
﻿"
WHA9.20,"Sessions of regional committees away from regional headquarters
﻿"
WHA9.36,"Place of meeting of the tenth World Health Assembly
﻿"
WHA9.22,"Decisions of United Nations organs and specialized agencies
﻿"
WHA9.1,"Establishment of main committees
﻿"
WHA9.23,"Correction of the French and Spanish texts of resolution WHA1.133
﻿"
WHA9.37,"Approval of host agreement with the government of Denmark concerning the Regional Office for Europe
﻿"
WHA9.33,"Fixation of minimum educational standards on an international basis for doctors
﻿"
WHA9.27,"Reports on the world health situation
﻿"
WHA9.4,"Admission of Sudan as a member
﻿"
WHA9.5,"Admission of Tunisia as a member
﻿"
WHA9.26,"Annual report of the Director-General for 1955
﻿"
WHA9.32,"Effective working budget and budget level for 1957
﻿"
WHA9.18,"Status of collection of annual contributions and of advances to the working capital fund
﻿"
WHA9.24,"Special fund for improving national health services
﻿"
WHA9.30,"Future organizational studies by the Executive Board
﻿"
WHA9.7,"Admission of the Federation of Nigeria as an associate member
﻿"
WHA9.6,"Admission of the Gold Coast as an associate member
﻿"
WHA9.31,"Cardiovascular diseases and hypertension
﻿"
WHA9.25,"Use of Arabic in the Regional Committee for the Eastern Mediterranean
﻿"
WHA9.19,"Working capital fund for 1957
﻿"
WHA9.42,"Assignment of Tunisia to the Eastern Mediterranean Region
﻿"
WHA9.56,"Local costs arrangements: Expanded Programme of Technical Assistance
﻿"
WHA9.57,"Legislative developments in the United Nations Expanded Programme of Technical Assistance
﻿"
WHA9.43,"Provisional assignment of Morocco to the European Region
﻿"
WHA9.55,"Approved 1956 Technical Assistance Programme and the financial situation for 1956
﻿"
WHA9.41,"Annual report of the United Nations Joint Staff Pension Board
﻿"
WHA9.40,"Appointment of representatives to the WHO Pension Committee
﻿"
